Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
"American Realty Investors, Inc.",ARL,Real Estate,,22.77,9.43,6400,186071040
"Arlo Technologies, Inc.",ARLO,Industrials,,17.64,7.84,969331,913234752
Aramark,ARMK,Industrials,24.665356,42.49,29.82,2177908,8304414208
"Archrock, Inc.",AROC,Energy,21.866667,30.44,17.27,1508244,4029893120
"ARMOUR Residential REIT, Inc.",ARR,Real Estate,,21.93,13.18,3000122,1121551232
"Arrow Electronics, Inc.",ARW,Technology,13.932785,137.8,86.5,618260,5268161536
"Amer Sports, Inc.",AS,Consumer Cyclical,152.7857,34,10.11,3871008,11860797440
ASA Gold and Precious Metals Limited,ASA,Financial Services,5.1808333,31.94,16.25,68162,591090560
"Asana, Inc.",ASAN,Technology,,27.77,11.045,3481827,3306169088
Associated Banc-Corp,ASB,Financial Services,27.624998,28.18,18.32,1714463,3294559744
,ASBA,,,25.3,21.98,17709,
Ardmore Shipping Corporation,ASC,Industrials,2.9869282,23.44,8.32,729147,370200160
"Liberty All-Star Growth Fund, Inc.",ASG,Financial Services,5.4323173,6.08,4.01,328034,272027424
Abrdn Global Infrastructure Income Fund,ASGI,,4.5775,20.35,16.65,160521,529968288
ASGN Incorporated,ASGN,Technology,14.791123,105.67,55.95,538811,2495902720
Ashland Inc.,ASH,Basic Materials,,102.5,45.21,806162,2360796416
AdvanSix Inc.,ASIX,Basic Materials,12.219136,33,18.44,166559,529399456
"Aspen Aerogels, Inc.",ASPN,Industrials,29.85294,33.15,4.8,2016398,416681856
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",ASR,Industrials,12.777331,357.9,248.88,53637,8476007424
"ASE Technology Holding Co., Ltd.",ASX,Technology,18.012728,12.86,6.94,11875734,17212581888
"A10 Networks, Inc.",ATEN,Technology,22.850895,21.9,12.27,1192960,1132221696
Adtalem Global Education Inc.,ATGE,Consumer Defensive,19.493332,112.44,46.18,476918,3813679616
Autohome Inc.,ATHM,Communication Services,14.833334,34.7,21.89,547770,3162454784
,ATHS,,,26.25,24.01,72868,
ATI Inc.,ATI,Industrials,17.505882,68.92,39.23,2269647,6296962560
Atkore Inc.,ATKR,Industrials,5.4177094,185.42,49.92,746983,1936302848
Atmus Filtration Technologies Inc.,ATMU,Industrials,14.389639,45.43,27.62,917773,2640698368
Atmos Energy Corporation,ATO,Utilities,22.266476,159.2,110.97,989772,24669505536
"AptarGroup, Inc.",ATR,Healthcare,25.944746,178.03,130.85,391250,9447334912
ATS Corporation,ATS,Industrials,36.617188,35.42,20.9,139055,2295209728
"Altice USA, Inc.",ATUS,Communication Services,,3.2,1.52,3211577,1023683072
AngloGold Ashanti plc,AU,Basic Materials,18.843348,46.9,21.65,2901532,22107922432
Atlantic Union Bankshares Corporation,AUB,Financial Services,10.866072,44.54,22.85,1527668,3492473856
,AUNA,Healthcare,15.581394,9.89,6.17,32440,495887072
Avista Corporation,AVA,Utilities,18.086245,43.09,33.45,819093,3325381888
Grupo Aval Acciones y Valores S.A.,AVAL,Financial Services,13.400001,3.32,1.94,167829,3043488256
"AvalonBay Communities, Inc.",AVB,Real Estate,26.3364,239.29,180.4,807111,28533594112
American Vanguard Corporation,AVD,Basic Materials,,12.67,3.28,233675,109105760
Advent Convertible and Income Fund,AVK,Financial Services,3.9080882,12.97,9.75,156173,469300672
"Avanos Medical, Inc.",AVNS,Healthcare,,25.36,11.9,496998,555258624
Avient Corporation,AVNT,Basic Materials,16.657608,54.68,27.86,715004,2805477376
"Avantor, Inc.",AVTR,Healthcare,14.302885,28,13.803,8235886,10136152064
Avery Dennison Corporation,AVY,Consumer Cyclical,19.20676,233.48,157,827503,13240624128
AllianceBernstein Global High Income Fund,AWF,Financial Services,5.748572,11.36,9.3,250711,867470784
"Armstrong World Industries, Inc.",AWI,Industrials,21.5897,164.4,110.68,335145,5649055232
"American Water Works Company, Inc.",AWK,Utilities,27.28757,155.5,117.67,1659859,28682219520
abrdn Global Premier Properties Fund,AWP,Financial Services,3.3558557,4.68,3.27,314498,321950240
American States Water Company,AWR,Utilities,25.277601,87.5,68.26,236818,3085686016
"Axos Financial, Inc.",AX,Financial Services,8.018919,88.46,44.1,453459,3388225024
"American Axle & Manufacturing Holdings, Inc.",AXL,Consumer Cyclical,11.327587,7.98,3,2753488,388723904
American Express Company,AXP,Financial Services,16.838688,326.27,220.43,3407278,1.69032E+11
AMREP Corporation,AXR,Real Estate,9.3361,39.67,15.88,17373,118967624
AXIS Capital Holdings Limited,AXS,Financial Services,7.453441,101.42,60.64,767109,7239806464
Axalta Coating Systems Ltd.,AXTA,Basic Materials,17.202248,41.655,27.7,2209122,6679539200
Acuity Inc.,AYI,Industrials,17.347612,345.3,216.81,383211,7071504896
The AZEK Company Inc.,AZEK,Industrials,46.939396,54.91,35.48,3590575,6684616704
"AutoZone, Inc.",AZO,Consumer Cyclical,23.918262,3916.81,2728.97,138029,59546079232
Azul S.A.,AZUL,Industrials,,6.64,1.37,1144422,220878832
AZZ Inc.,AZZ,Industrials,46.189346,99.49,69.59,266690,2332604416
The Boeing Company,BA,Industrials,,196.95,128.88,8902129,1.18674E+11
Alibaba Group Holding Limited,BABA,Consumer Cyclical,16.122221,148.43,69.12,33542683,2.67336E+11
Bank of America Corporation,BAC,Financial Services,10.9805975,48.08,33.07,47277242,2.78098E+11
Booz Allen Hamilton Holding Corporation,BAH,Industrials,16.65,190.59,101.05,2852783,13837952000
Braskem S.A.,BAK,Basic Materials,,9.21,2.85,868591,599541760
Ball Corporation,BALL,Consumer Cyclical,34.42336,71.32,43.51,2815055,13316994048
Bally's Corporation,BALY,Consumer Cyclical,,22.41,10,31944,828535808
Brookfield Asset Management Ltd.,BAM,Financial Services,37.242188,62.61,37.29,2062722,78050082816
"Banc of California, Inc.",BANC,Financial Services,24.826923,18.08,11.52,2757419,2182861568
Credicorp Ltd.,BAP,Financial Services,10.157112,200,153.27,314834,14636026880
"BARK, Inc.",BARK,Consumer Cyclical,,2.555,1.01,857265,207274272
Baxter International Inc.,BAX,Healthcare,,41.18,26.25,5013936,14599099392
BlackBerry Limited,BB,Technology,,6.24,2.01,23967198,1839381888
"BigBear.ai Holdings, Inc.",BBAI,Technology,,10.36,1.165,59536040,690986816
Banco BBVA Argentina S.A.,BBAR,Financial Services,13.496598,25.01,7.05,740418,4173145600
Banco Bradesco S.A.,BBD,Financial Services,8.5,2.96,1.84,44308439,21708587008
"Barings BDC, Inc.",BBDC,Financial Services,8.168269,10.85,7.66,606139,895449472
Banco Bradesco S.A.,BBDO,Financial Services,7.769231,2.64,1.71,65509,21383315456
BlackRock Taxable Municipal Bond Trust,BBN,Financial Services,82.68421,18.42,15.37,150391,970760192
Brookfield Business Partners L.P.,BBU,Industrials,,26.75,16.85,17537,1794918144
Brookfield Business Corporation,BBUC,Financial Services,,28.45,18.21,75470,1684811264
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,Financial Services,7.024316,14.84,9.23,2843883,77061226496
"Build-A-Bear Workshop, Inc.",BBW,Consumer Cyclical,8.747369,48.23,23.63,287468,446742304
"Bath & Body Works, Inc.",BBWI,Consumer Cyclical,7.595568,52.99,24.96,5656944,5874077184
"Best Buy Co., Inc.",BBY,Consumer Cyclical,14.252336,103.71,54.99,3967452,12893570048
Brunswick Corporation,BC,Consumer Cyclical,19.418552,87.65,41,1023832,2828411904
BlackRock Capital Allocation Term Trust,BCAT,,7.4398904,17.18,12.91,523613,1426511616
Boise Cascade Company,BCC,Basic Materials,9.446186,155.42,87.84,384575,3426711552
BCE Inc.,BCE,Communication Services,170.4231,36.17,20.28,3307611,20423034880
Banco de Chile,BCH,Financial Services,11.467479,28.64,21.76,298016,14248446976
The Brink's Company,BCO,Industrials,24.146814,115.91,80.21,314373,3765874688
Barclays PLC,BCS,Financial Services,7.874728,16.34,9.4,20442336,51729833984
"Bain Capital Specialty Finance, Inc.",BCSF,Financial Services,7.821622,19.21,13.2,355619,934973248
Blackrock Resources & Commodities Strategy Trust,BCX,Financial Services,,9.74,7.84,312398,673631808
